"number","player","gp","gs","tot","avg","fgm","fga","fg_percent","x3pt","x3pta","x3pt_percent","ftm","fta","ft_percent","pts","avg_2","off","def","tot_2","avg_3","pf","ast","to","stl","blk","season"
"10","Holland, Meghan
                                    10 Holland, Meghan","19","14","482","25.4","48","134",".358","18","60",".300","14","17",".824","128","6.7","23","29","52","2.7","41","41","25","20","3","2015-16"
"31","Hanley, Erin
                                    31 Hanley, Erin","17","0","290","17.1","41","96",".427","0","6",".000","32","46",".696","114","6.7","30","36","66","3.9","37","12","36","9","1","2015-16"
"25","Alakai, Samantha
                                    25 Alakai, Samantha","26","9","498","19.2","57","166",".343","22","70",".314","35","47",".745","171","6.6","25","68","93","3.6","47","18","36","27","15","2015-16"
"14","Barriscale, Amanda
                                    14 Barriscale, Amanda","24","16","501","20.9","35","83",".422","0","0",".000","25","39",".641","95","4.0","61","75","136","5.7","81","15","43","14","6","2015-16"
"03","Chihara, Jade
                                    03 Chihara, Jade","26","13","392","15.1","28","91",".308","5","20",".250","10","19",".526","71","2.7","21","44","65","2.5","47","32","35","25","3","2015-16"
"33","Karapoulios, Tia
                                    33 Karapoulios, Tia","24","1","224","9.3","24","66",".364","7","25",".280","9","13",".692","64","2.7","6","29","35","1.5","15","5","19","8","2","2015-16"
"20","Talley, Tavorsia
                                    20 Talley, Tavorsia","22","0","153","7.0","13","57",".228","3","11",".273","18","26",".692","47","2.1","7","10","17","0.8","15","5","22","12","1","2015-16"
"24","Koh, Sydney
                                    24 Koh, Sydney","17","0","117","6.9","11","40",".275","6","26",".231","2","2","1.000","30","1.8","2","16","18","1.1","6","8","5","6","2","2015-16"
"11","Castro, Mandy
                                    11 Castro, Mandy","19","0","154","8.1","8","37",".216","7","29",".241","8","10",".800","31","1.6","1","9","10","0.5","16","8","11","7","0","2015-16"
"15","McClellan, Katy
                                    15 McClellan, Katy","20","0","153","7.7","8","31",".258","4","12",".333","9","23",".391","29","1.5","17","20","37","1.9","11","9","5","4","0","2015-16"
"34","Lancaster, Carrie Lee
                                    34 Lancaster, Carrie Lee","12","0","62","5.2","4","12",".333","0","0",".000","7","11",".636","15","1.3","4","6","10","0.8","8","0","6","0","0","2015-16"
"40","Gibson, Audrey
                                    40 Gibson, Audrey","2","0","6","3.0","1","1","1.000","0","0",".000","0","0",".000","2","1.0","0","2","2","1.0","0","0","0","1","0","2015-16"
"22","Snoddy, Nikkiah
                                    22 Snoddy, Nikkiah","20","0","110","5.5","8","21",".381","0","0",".000","3","10",".300","19","1.0","10","21","31","1.6","4","1","9","0","3","2015-16"
"32","Seymour, Emma
                                    32 Seymour, Emma","12","0","47","3.9","3","12",".250","0","0",".000","3","3","1.000","9","0.8","5","7","12","1.0","3","1","1","0","0","2015-16"
"21","Saywell, Shannon
                                    21 Saywell, Shannon","9","1","26","2.9","2","7",".286","0","0",".000","0","5",".000","4","0.4","1","3","4","0.4","2","3","0","1","1","2015-16"
"25","Alakai, Samantha
                                    25 Alakai, Samantha","25","22","646","25.8","121","266",".455","20","55",".364","44","77",".571","306","12.2","29","67","96","3.8","51","25","42","29","17","2014-15"
"13","Marquez, Paige
                                    13 Marquez, Paige","24","9","593","24.7","86","240",".358","16","71",".225","17","28",".607","205","8.5","15","59","74","3.1","47","42","55","23","4","2014-15"
"10","Holland, Meghan
                                    10 Holland, Meghan","25","18","683","27.3","66","177",".373","28","92",".304","29","40",".725","189","7.6","25","58","83","3.3","45","59","43","20","6","2014-15"
"15","Barrett, Alyssa
                                    15 Barrett, Alyssa","25","5","438","17.5","53","163",".325","37","109",".339","14","16",".875","157","6.3","18","42","60","2.4","31","13","12","11","3","2014-15"
"30","Weston, Lauren
                                    30 Weston, Lauren","16","10","303","18.9","35","87",".402","0","0",".000","22","30",".733","92","5.8","23","47","70","4.4","25","11","15","9","8","2014-15"
"11","Castro, Mandy
                                    11 Castro, Mandy","25","18","594","23.8","45","140",".321","24","92",".261","25","35",".714","139","5.6","14","35","49","2.0","57","55","37","30","0","2014-15"
"34","Soto-Rivera, Stephanie
                                    34 Soto-Rivera, Stephanie","12","0","140","11.7","21","59",".356","0","1",".000","11","13",".846","53","4.4","16","20","36","3.0","35","12","15","9","1","2014-15"
"03","Chihara, Jade
                                    03 Chihara, Jade","25","25","555","22.2","42","112",".375","1","6",".167","20","39",".513","105","4.2","33","51","84","3.4","63","42","59","45","2","2014-15"
"14","Barriscale, Amanda
                                    14 Barriscale, Amanda","24","13","512","21.3","39","101",".386","0","1",".000","19","26",".731","97","4.0","68","95","163","6.8","88","27","50","30","6","2014-15"
"33","Karapoulios, Tia
                                    33 Karapoulios, Tia","21","5","232","11.0","25","79",".316","8","29",".276","16","28",".571","74","3.5","15","39","54","2.6","18","12","24","6","6","2014-15"
"20","Talley, Tavorsia
                                    20 Talley, Tavorsia","16","0","139","8.7","20","50",".400","2","8",".250","5","12",".417","47","2.9","5","8","13","0.8","15","5","26","8","6","2014-15"
"40","Gibson, Audrey
                                    40 Gibson, Audrey","7","0","28","4.0","2","7",".286","0","0",".000","3","5",".600","7","1.0","0","3","3","0.4","4","1","0","0","2","2014-15"
"21","Saywell, Shannon
                                    21 Saywell, Shannon","16","0","112","7.0","2","20",".100","1","2",".500","2","3",".667","7","0.4","6","13","19","1.2","10","5","8","5","2","2014-15"
"31","Biasin, Camryn
                                    31 Biasin, Camryn","7","0","25","3.6","1","3",".333","0","1",".000","0","0",".000","2","0.3","1","4","5","0.7","4","1","3","3","0","2014-15"
"13","Drummond, Rosa
                                    13 Drummond, Rosa","29","29","893","30.8","156","409",".381","46","139",".331","73","92",".793","431","14.9","52","189","241","8.3","78","32","71","29","15","2013-14"
"05","Solis, Paulina
                                    05 Solis, Paulina","30","30","912","30.4","148","442",".335","49","197",".249","80","108",".741","425","14.2","34","82","116","3.9","84","92","111","85","8","2013-14"
"34","Parkmond, Sydney
                                    34 Parkmond, Sydney","29","28","776","26.8","108","241",".448","0","1",".000","79","118",".669","295","10.2","78","129","207","7.1","86","53","73","48","5","2013-14"
"30","Weston, Lauren
                                    30 Weston, Lauren","29","3","570","19.7","67","151",".444","0","1",".000","36","46",".783","170","5.9","59","85","144","5.0","54","20","46","10","21","2013-14"
"22","Collins, Jazmine
                                    22 Collins, Jazmine","30","10","550","18.3","63","123",".512","1","2",".500","39","82",".476","166","5.5","52","63","115","3.8","53","22","50","26","5","2013-14"
"25","Munoz-Ruiz, Marissa
                                    25 Munoz-Ruiz, Marissa","30","26","767","25.6","63","136",".463","0","0",".000","10","27",".370","136","4.5","17","56","73","2.4","35","52","65","23","1","2013-14"
"03","Chihara, Jade
                                    03 Chihara, Jade","27","19","525","19.4","34","83",".410","1","7",".143","23","37",".622","92","3.4","38","55","93","3.4","74","37","50","39","2","2013-14"
"11","Castro, Mandy
                                    11 Castro, Mandy","30","5","583","19.4","34","121",".281","20","68",".294","13","22",".591","101","3.4","15","29","44","1.5","49","39","44","27","0","2013-14"
"15","Barrett, Alyssa
                                    15 Barrett, Alyssa","27","0","353","13.1","27","101",".267","13","61",".213","19","24",".792","86","3.2","18","25","43","1.6","30","13","16","17","1","2013-14"
"33","Karapoulios, Tia
                                    33 Karapoulios, Tia","14","0","65","4.6","7","24",".292","1","4",".250","2","4",".500","17","1.2","4","9","13","0.9","12","2","10","4","3","2013-14"
"21","Saywell, Shannon
                                    21 Saywell, Shannon","12","0","31","2.6","2","8",".250","0","0",".000","0","0",".000","4","0.3","4","0","4","0.3","2","0","3","0","2","2013-14"
"05","Solis, Paulina
                                    05 Solis, Paulina","28","27","801","28.6","149","408",".365","63","202",".312","59","79",".747","420","15.0","46","57","103","3.7","66","102","62","111","3","2012-13"
"03","Quattrocchi, Devon
                                    03 Quattrocchi, Devon","28","28","896","32.0","124","319",".389","32","99",".323","55","83",".663","335","12.0","59","57","116","4.1","62","89","67","82","6","2012-13"
"13","Drummond, Rosa
                                    13 Drummond, Rosa","28","28","732","26.1","120","311",".386","38","116",".328","50","60",".833","328","11.7","53","125","178","6.4","56","25","59","33","20","2012-13"
"34","Parkmond, Sydney
                                    34 Parkmond, Sydney","28","28","668","23.9","99","226",".438","0","0",".000","43","78",".551","241","8.6","58","89","147","5.3","65","51","74","54","8","2012-13"
"22","Zakoske, Amanda
                                    22 Zakoske, Amanda","28","28","807","28.8","94","222",".423","1","3",".333","40","53",".755","229","8.2","50","88","138","4.9","52","52","61","61","8","2012-13"
"15","Barrett, Alyssa
                                    15 Barrett, Alyssa","25","0","298","11.9","38","94",".404","21","63",".333","12","21",".571","109","4.4","11","24","35","1.4","12","5","13","12","0","2012-13"
"20","Claps, Bethany
                                    20 Claps, Bethany","26","0","306","11.8","46","100",".460","0","0",".000","12","21",".571","104","4.0","38","39","77","3.0","35","9","23","12","0","2012-13"
"30","Weston, Lauren
                                    30 Weston, Lauren","28","0","339","12.1","37","82",".451","0","0",".000","18","32",".563","92","3.3","42","65","107","3.8","40","17","36","14","14","2012-13"
"25","Munoz-Ruiz, Marissa
                                    25 Munoz-Ruiz, Marissa","28","0","601","21.5","26","82",".317","0","0",".000","9","16",".563","61","2.2","21","52","73","2.6","34","56","52","32","3","2012-13"
"33","Karapoulios, Tia
                                    33 Karapoulios, Tia","14","0","46","3.3","5","17",".294","1","4",".250","1","4",".250","12","0.9","3","9","12","0.9","11","0","8","4","2","2012-13"
"24","Purington, Brittany
                                    24 Purington, Brittany","23","1","97","4.2","5","21",".238","0","1",".000","5","9",".556","15","0.7","6","8","14","0.6","15","4","7","1","0","2012-13"
"21","Saywell, Shannon
                                    21 Saywell, Shannon","21","0","59","2.8","3","11",".273","0","0",".000","4","7",".571","10","0.5","7","10","17","0.8","6","4","4","1","2","2012-13"
"13","Drummond, Rosa
                                    13 Drummond, Rosa","29","29","748","25.8","132","349",".378","38","127",".299","71","87",".816","373","12.9","32","144","176","6.1","53","14","49","54","29","2011-12"
"11","Page, Maddie
                                    11 Page, Maddie","29","0","607","20.9","82","173",".474","7","18",".389","83","107",".776","254","8.8","34","85","119","4.1","41","49","71","70","1","2011-12"
"05","Solis, Paulina
                                    05 Solis, Paulina","27","0","456","16.9","86","192",".448","26","78",".333","31","50",".620","229","8.5","28","31","59","2.2","61","61","63","55","4","2011-12"
"20","BelBruno, Lizzy
                                    20 BelBruno, Lizzy","29","29","798","27.5","90","251",".359","27","103",".262","32","44",".727","239","8.2","23","61","84","2.9","69","72","57","33","12","2011-12"
"40","Giles, Ellie
                                    40 Giles, Ellie","29","29","763","26.3","88","207",".425","1","6",".167","17","27",".630","194","6.7","52","158","210","7.2","48","28","42","39","57","2011-12"
"03","Quattrocchi, Devon
                                    03 Quattrocchi, Devon","29","29","825","28.4","75","177",".424","11","29",".379","29","52",".558","190","6.6","45","48","93","3.2","53","87","52","66","2","2011-12"
"22","Zakoske, Amanda
                                    22 Zakoske, Amanda","29","29","591","20.4","66","131",".504","0","1",".000","28","54",".519","160","5.5","34","44","78","2.7","34","49","52","29","5","2011-12"
"30","Parkmond, Sydney
                                    30 Parkmond, Sydney","27","0","431","16.0","51","131",".389","0","1",".000","17","31",".548","119","4.4","39","62","101","3.7","59","14","41","14","3","2011-12"
"15","Barrett, Alyssa
                                    15 Barrett, Alyssa","26","0","208","8.0","16","72",".222","12","51",".235","15","16",".938","59","2.3","7","21","28","1.1","20","5","17","3","2","2011-12"
"24","Purington, Brittany
                                    24 Purington, Brittany","25","0","193","7.7","17","32",".531","0","1",".000","11","14",".786","45","1.8","9","5","14","0.6","15","9","12","4","0","2011-12"
"25","Munoz-Ruiz, Marissa
                                    25 Munoz-Ruiz, Marissa","6","0","24","4.0","3","6",".500","0","0",".000","2","5",".400","8","1.3","1","2","3","0.5","1","1","2","2","0","2011-12"
"31","McIver, Carly
                                    31 McIver, Carly","18","0","96","5.3","8","21",".381","0","0",".000","6","13",".462","22","1.2","11","13","24","1.3","14","1","16","1","4","2011-12"
"33","Dutton, Libby
                                    33 Dutton, Libby","16","0","85","5.3","3","15",".200","1","9",".111","2","2","1.000","9","0.6","0","10","10","0.6","3","7","3","1","1","2011-12"
"13","Drummond, Rosa
                                    13 Drummond, Rosa","28","27","801","28.6","126","309",".408","33","99",".333","65","76",".855","350","12.5","48","142","190","6.8","72","32","50","50","26","2010-11"
"20","BelBruno, Lizzy
                                    20 BelBruno, Lizzy","21","19","585","27.9","77","210",".367","30","83",".361","39","59",".661","223","10.6","10","52","62","3.0","39","26","36","42","5","2010-11"
"22","Zakoske, Amanda
                                    22 Zakoske, Amanda","28","28","751","26.8","101","235",".430","0","9",".000","51","74",".689","253","9.0","54","62","116","4.1","52","55","74","54","4","2010-11"
"11","Quattrocchi, Devon
                                    11 Quattrocchi, Devon","24","22","744","31.0","62","172",".360","4","27",".148","41","58",".707","169","7.0","39","47","86","3.6","52","69","67","46","3","2010-11"
"32","Petrizzi, Ashani
                                    32 Petrizzi, Ashani","20","9","371","18.6","42","84",".500","2","3",".667","30","50",".600","116","5.8","40","55","95","4.8","54","14","34","20","10","2010-11"
"30","Parkmond, Sydney
                                    30 Parkmond, Sydney","26","17","520","20.0","64","160",".400","0","2",".000","17","30",".567","145","5.6","48","58","106","4.1","56","10","54","26","3","2010-11"
"25","Munoz-Ruiz, Marissa
                                    25 Munoz-Ruiz, Marissa","28","9","708","25.3","44","123",".358","0","1",".000","23","38",".605","111","4.0","28","52","80","2.9","43","73","83","52","2","2010-11"
"40","Giles, Ellie
                                    40 Giles, Ellie","18","4","355","19.7","25","90",".278","0","1",".000","15","18",".833","65","3.6","31","73","104","5.8","13","6","23","18","25","2010-11"
"33","Dutton, Libby
                                    33 Dutton, Libby","19","0","278","14.6","25","80",".313","11","45",".244","2","4",".500","63","3.3","2","18","20","1.1","24","13","23","15","1","2010-11"
"15","Welk, Jessica
                                    15 Welk, Jessica","25","5","305","12.2","28","93",".301","3","28",".107","15","16",".938","74","3.0","11","18","29","1.2","21","11","30","5","0","2010-11"
"24","Purington, Brittany
                                    24 Purington, Brittany","19","0","221","11.6","11","31",".355","0","0",".000","10","15",".667","32","1.7","6","20","26","1.4","20","8","9","2","1","2010-11"
"21","Dornbusch, Abby
                                    21 Dornbusch, Abby","5","0","11","2.2","1","1","1.000","0","0",".000","0","0",".000","2","0.4","0","0","0","0.0","0","1","4","0","0","2010-11"
